Algorithm,Series,Iterations,T0,Tf,L,coolingFunction,Execution,MSE,Time
SA_LinearCooling,TS1.txt,200,10,0.01,30,Linear,1,1.3757359383858392,1.0890462398529053
SA_LinearCooling,TS1.txt,200,10,0.01,30,Linear,2,0.8435150940886057,1.1243093013763428
SA_LinearCooling,TS1.txt,200,10,0.01,30,Linear,3,0.8337969243183898,1.1446616649627686
SA_LinearCooling,TS1.txt,200,10,0.01,30,Linear,4,1.2901032116194167,1.1343846321105957
SA_LinearCooling,TS1.txt,200,10,0.01,30,Linear,5,1.380842313283309,1.1693706512451172
SA_LinearCooling,TS1.txt,200,10,0.01,30,Linear,6,1.078454178545157,1.2124133110046387
SA_LinearCooling,TS1.txt,200,10,0.01,30,Linear,7,1.2191749387445219,1.1418297290802002
SA_LinearCooling,TS1.txt,200,10,0.01,30,Linear,8,0.5902607290967854,1.1983442306518555
SA_LinearCooling,TS1.txt,200,10,0.01,30,Linear,9,0.9961556830432539,1.1958823204040527
SA_LinearCooling,TS1.txt,200,10,0.01,30,Linear,10,1.0475334721785008,1.1963222026824951
SA_LinearCooling,TS1.txt,200,10,0.01,30,Linear,11,1.2982497177840084,1.1606614589691162
SA_LinearCooling,TS1.txt,200,10,0.01,30,Linear,12,0.7696588957321642,1.1942307949066162
SA_LinearCooling,TS1.txt,200,10,0.01,30,Linear,13,0.800599013029998,1.2269694805145264
SA_LinearCooling,TS1.txt,200,10,0.01,30,Linear,14,1.1752488596933255,1.1778650283813477
SA_LinearCooling,TS1.txt,200,10,0.01,30,Linear,15,1.3469607521316744,1.152376413345337
SA_LinearCooling,TS1.txt,200,10,0.01,30,Linear,16,0.8159123774815176,1.202909231185913
SA_LinearCooling,TS1.txt,200,10,0.01,30,Linear,17,0.7727258410973378,1.1893994808197021
SA_LinearCooling,TS1.txt,200,10,0.01,30,Linear,18,0.9300141531388155,1.2231380939483643
SA_LinearCooling,TS1.txt,200,10,0.01,30,Linear,19,1.446885945287944,1.188539743423462
SA_LinearCooling,TS1.txt,200,10,0.01,30,Linear,20,0.8292739980039137,1.2332978248596191
SA_LogarithmCooling,TS1.txt,200,10,0.01,30,Logarithm,1,1.1124353821012614,1.213590383529663
SA_LogarithmCooling,TS1.txt,200,10,0.01,30,Logarithm,2,0.6618255559538907,1.2127900123596191
SA_LogarithmCooling,TS1.txt,200,10,0.01,30,Logarithm,3,1.2893330175536806,1.178598165512085
SA_LogarithmCooling,TS1.txt,200,10,0.01,30,Logarithm,4,1.3204322873523529,1.1835203170776367
SA_LogarithmCooling,TS1.txt,200,10,0.01,30,Logarithm,5,1.0762230128979027,1.2040395736694336
SA_LogarithmCooling,TS1.txt,200,10,0.01,30,Logarithm,6,0.9666935447579191,1.226806640625
SA_LogarithmCooling,TS1.txt,200,10,0.01,30,Logarithm,7,0.858884673511264,1.216423511505127
SA_LogarithmCooling,TS1.txt,200,10,0.01,30,Logarithm,8,1.2633195250173896,1.2038295269012451
SA_LogarithmCooling,TS1.txt,200,10,0.01,30,Logarithm,9,0.9569487862177488,1.1974291801452637
SA_LogarithmCooling,TS1.txt,200,10,0.01,30,Logarithm,10,1.0576487659923792,1.146794080734253
SA_LogarithmCooling,TS1.txt,200,10,0.01,30,Logarithm,11,1.3329317157428608,1.15964937210083
SA_LogarithmCooling,TS1.txt,200,10,0.01,30,Logarithm,12,0.9890700810369631,1.2232179641723633
SA_LogarithmCooling,TS1.txt,200,10,0.01,30,Logarithm,13,0.9496675504357293,1.2002801895141602
SA_LogarithmCooling,TS1.txt,200,10,0.01,30,Logarithm,14,0.7845447090541448,1.1996097564697266
SA_LogarithmCooling,TS1.txt,200,10,0.01,30,Logarithm,15,0.37717517027197756,1.2376766204833984
SA_LogarithmCooling,TS1.txt,200,10,0.01,30,Logarithm,16,0.8629112599326023,1.2105629444122314
SA_LogarithmCooling,TS1.txt,200,10,0.01,30,Logarithm,17,1.3030187527722126,1.1713440418243408
SA_LogarithmCooling,TS1.txt,200,10,0.01,30,Logarithm,18,0.859023733573895,1.23097562789917
SA_LogarithmCooling,TS1.txt,200,10,0.01,30,Logarithm,19,1.2356521286901347,1.2052812576293945
SA_LogarithmCooling,TS1.txt,200,10,0.01,30,Logarithm,20,0.9187392614307043,1.2425189018249512
SA_GeometricCooling,TS1.txt,200,10,0.01,30,Geometric,1,0.4622586346168032,1.221130132675171
SA_GeometricCooling,TS1.txt,200,10,0.01,30,Geometric,2,0.8186712798845787,1.221156358718872
