Algorithm,Series,Iterations,T0,Tf,L,coolingFunction,Execution,MSE,Time
SA_GeometricCooling,TS1.txt,200,50.0,1.0,9,Geometric,1,1.300119069810474,0.3442115783691406
SA_GeometricCooling,TS1.txt,200,50.0,1.0,9,Geometric,2,1.3608230978208071,0.34677743911743164
SA_GeometricCooling,TS1.txt,200,50.0,1.0,9,Geometric,3,1.268157856168608,0.34476709365844727
SA_GeometricCooling,TS1.txt,200,50.0,1.0,9,Geometric,4,1.7700001347986651,0.3287770748138428
SA_GeometricCooling,TS1.txt,200,50.0,1.0,9,Geometric,5,0.9676431603014115,0.3639407157897949
SA_GeometricCooling,TS1.txt,200,50.0,1.0,9,Geometric,6,1.2274836242250113,0.36061739921569824
SA_GeometricCooling,TS1.txt,200,50.0,1.0,9,Geometric,7,0.5713475130847758,0.3721923828125
SA_GeometricCooling,TS1.txt,200,50.0,1.0,9,Geometric,8,1.2157383476362436,0.35463452339172363
SA_GeometricCooling,TS1.txt,200,50.0,1.0,9,Geometric,9,0.8769905434276613,0.3591599464416504
SA_GeometricCooling,TS1.txt,200,50.0,1.0,9,Geometric,10,1.4191806962827895,0.3528459072113037
SA_GeometricCooling,TS1.txt,200,50.0,1.0,9,Geometric,11,1.493342715437688,0.36745309829711914
SA_GeometricCooling,TS1.txt,200,50.0,1.0,9,Geometric,12,1.2112062100956604,0.3609004020690918
SA_GeometricCooling,TS1.txt,200,50.0,1.0,9,Geometric,13,1.2476509162522653,0.36535120010375977
SA_GeometricCooling,TS1.txt,200,50.0,1.0,9,Geometric,14,1.33133973756102,0.36060667037963867
SA_GeometricCooling,TS1.txt,200,50.0,1.0,9,Geometric,15,0.36404717222324473,0.35993099212646484
SA_GeometricCooling,TS1.txt,200,50.0,1.0,9,Geometric,16,0.7687549911031084,0.35896897315979004
SA_GeometricCooling,TS1.txt,200,50.0,1.0,9,Geometric,17,1.5027837596708005,0.3444061279296875
SA_GeometricCooling,TS1.txt,200,50.0,1.0,9,Geometric,18,0.9994334284877129,0.35467982292175293
SA_GeometricCooling,TS1.txt,200,50.0,1.0,9,Geometric,19,1.3279307393704527,0.33548855781555176
SA_GeometricCooling,TS1.txt,200,50.0,1.0,9,Geometric,20,0.7248396906872512,0.35552215576171875
SA_GeometricCooling,TS1.txt,200,50.0,1.0,36,Geometric,1,0.6526670868633186,1.4496252536773682
SA_GeometricCooling,TS1.txt,200,50.0,1.0,36,Geometric,2,0.8179562660907205,1.4487085342407227
SA_GeometricCooling,TS1.txt,200,50.0,1.0,36,Geometric,3,1.059073855841804,1.3805053234100342
SA_GeometricCooling,TS1.txt,200,50.0,1.0,36,Geometric,4,0.9105477462972805,1.400977611541748
SA_GeometricCooling,TS1.txt,200,50.0,1.0,36,Geometric,5,0.9994340700449401,1.3804481029510498
SA_GeometricCooling,TS1.txt,200,50.0,1.0,36,Geometric,6,1.32812194554303,1.3469359874725342
SA_GeometricCooling,TS1.txt,200,50.0,1.0,36,Geometric,7,0.9350670056976301,1.3623120784759521
SA_GeometricCooling,TS1.txt,200,50.0,1.0,36,Geometric,8,1.3121260334324008,1.3118164539337158
SA_GeometricCooling,TS1.txt,200,50.0,1.0,36,Geometric,9,0.9502278218015441,1.4001705646514893
SA_GeometricCooling,TS1.txt,200,50.0,1.0,36,Geometric,10,0.9273341873594797,1.411968469619751
SA_GeometricCooling,TS1.txt,200,50.0,1.0,36,Geometric,11,0.777661305571799,1.410329818725586
SA_GeometricCooling,TS1.txt,200,50.0,1.0,36,Geometric,12,0.7208485118367132,1.4334166049957275
SA_GeometricCooling,TS1.txt,200,50.0,1.0,36,Geometric,13,0.7376628374407824,1.4507088661193848
SA_GeometricCooling,TS1.txt,200,50.0,1.0,36,Geometric,14,0.856219550524377,1.4465069770812988
SA_GeometricCooling,TS1.txt,200,50.0,1.0,36,Geometric,15,0.9168538182823281,1.4253878593444824
SA_GeometricCooling,TS1.txt,200,50.0,1.0,36,Geometric,16,0.6662473682765174,1.4305830001831055
SA_GeometricCooling,TS1.txt,200,50.0,1.0,36,Geometric,17,1.3060014998494385,1.360853910446167
SA_GeometricCooling,TS1.txt,200,50.0,1.0,36,Geometric,18,0.8902855240490098,1.4462404251098633
SA_GeometricCooling,TS1.txt,200,50.0,1.0,36,Geometric,19,1.300051465324702,1.3603601455688477
SA_GeometricCooling,TS1.txt,200,50.0,1.0,36,Geometric,20,1.2406979848295925,1.428281545639038
SA_GeometricCooling,TS1.txt,200,50.0,1.0,90,Geometric,1,0.8105222750809724,3.5573220252990723
SA_GeometricCooling,TS1.txt,200,50.0,1.0,90,Geometric,2,0.6896918324539206,3.530730962753296
SA_GeometricCooling,TS1.txt,200,50.0,1.0,90,Geometric,3,0.969554999393828,3.5262291431427
SA_GeometricCooling,TS1.txt,200,50.0,1.0,90,Geometric,4,0.8533433161428706,3.523409366607666
SA_GeometricCooling,TS1.txt,200,50.0,1.0,90,Geometric,5,1.1314100716386974,3.479633331298828
SA_GeometricCooling,TS1.txt,200,50.0,1.0,90,Geometric,6,0.8333349147965241,3.5379555225372314
SA_GeometricCooling,TS1.txt,200,50.0,1.0,90,Geometric,7,0.7427398815900913,3.577822685241699
SA_GeometricCooling,TS1.txt,200,50.0,1.0,90,Geometric,8,0.6113921845661776,3.593956232070923
SA_GeometricCooling,TS1.txt,200,50.0,1.0,90,Geometric,9,1.3161872823787795,3.481790542602539
SA_GeometricCooling,TS1.txt,200,50.0,1.0,90,Geometric,10,0.8009883697092385,3.5816454887390137
SA_GeometricCooling,TS1.txt,200,50.0,1.0,90,Geometric,11,1.0699520047793543,3.5407872200012207
SA_GeometricCooling,TS1.txt,200,50.0,1.0,90,Geometric,12,0.7557295095963551,3.5695619583129883
SA_GeometricCooling,TS1.txt,200,50.0,1.0,90,Geometric,13,0.630989655296411,3.5896859169006348
SA_GeometricCooling,TS1.txt,200,50.0,1.0,90,Geometric,14,0.512238625269966,3.6203436851501465
SA_GeometricCooling,TS1.txt,200,50.0,1.0,90,Geometric,15,0.6839315703286731,3.6272125244140625
SA_GeometricCooling,TS1.txt,200,50.0,1.0,90,Geometric,16,0.586220411649864,3.5475525856018066
SA_GeometricCooling,TS1.txt,200,50.0,1.0,90,Geometric,17,0.8555225968143044,3.5973258018493652
SA_GeometricCooling,TS1.txt,200,50.0,1.0,90,Geometric,18,0.9488498289104099,3.5479371547698975
SA_GeometricCooling,TS1.txt,200,50.0,1.0,90,Geometric,19,0.6951160257467731,3.5584733486175537
SA_GeometricCooling,TS1.txt,200,50.0,1.0,90,Geometric,20,0.7473961345473588,3.549041271209717
SA_GeometricCooling,TS1.txt,200,50.0,0.1,9,Geometric,1,1.1745581364064546,0.3636202812194824
SA_GeometricCooling,TS1.txt,200,50.0,0.1,9,Geometric,2,0.8320373886523246,0.3560311794281006
SA_GeometricCooling,TS1.txt,200,50.0,0.1,9,Geometric,3,1.5200950343209128,0.34906864166259766
SA_GeometricCooling,TS1.txt,200,50.0,0.1,9,Geometric,4,0.9116427571883519,0.3700394630432129
SA_GeometricCooling,TS1.txt,200,50.0,0.1,9,Geometric,5,1.5112010058690284,0.3521749973297119
SA_GeometricCooling,TS1.txt,200,50.0,0.1,9,Geometric,6,1.138790695053241,0.36820363998413086
SA_GeometricCooling,TS1.txt,200,50.0,0.1,9,Geometric,7,1.3189856313522086,0.3648200035095215
SA_GeometricCooling,TS1.txt,200,50.0,0.1,9,Geometric,8,1.2019894326734761,0.36186647415161133
SA_GeometricCooling,TS1.txt,200,50.0,0.1,9,Geometric,9,0.7046830652280934,0.3689918518066406
SA_GeometricCooling,TS1.txt,200,50.0,0.1,9,Geometric,10,1.101933233444884,0.35437870025634766
SA_GeometricCooling,TS1.txt,200,50.0,0.1,9,Geometric,11,1.0344830056754502,0.373215913772583
SA_GeometricCooling,TS1.txt,200,50.0,0.1,9,Geometric,12,1.2274731600631157,0.3452754020690918
SA_GeometricCooling,TS1.txt,200,50.0,0.1,9,Geometric,13,0.6401549877100828,0.3567326068878174
SA_GeometricCooling,TS1.txt,200,50.0,0.1,9,Geometric,14,0.7104081735218135,0.3599405288696289
SA_GeometricCooling,TS1.txt,200,50.0,0.1,9,Geometric,15,0.6073038209078168,0.35877013206481934
SA_GeometricCooling,TS1.txt,200,50.0,0.1,9,Geometric,16,1.5487701788212789,0.3442206382751465
SA_GeometricCooling,TS1.txt,200,50.0,0.1,9,Geometric,17,0.4303035677736068,0.3491077423095703
SA_GeometricCooling,TS1.txt,200,50.0,0.1,9,Geometric,18,0.5741650411258609,0.34471964836120605
SA_GeometricCooling,TS1.txt,200,50.0,0.1,9,Geometric,19,1.2519587574336415,0.3386497497558594
SA_GeometricCooling,TS1.txt,200,50.0,0.1,9,Geometric,20,1.4903893932646015,0.3424551486968994
SA_GeometricCooling,TS1.txt,200,50.0,0.1,36,Geometric,1,0.9916852507508462,1.3599228858947754
SA_GeometricCooling,TS1.txt,200,50.0,0.1,36,Geometric,2,1.0634785400385693,1.3826937675476074
SA_GeometricCooling,TS1.txt,200,50.0,0.1,36,Geometric,3,0.23988767131259703,1.3567783832550049
SA_GeometricCooling,TS1.txt,200,50.0,0.1,36,Geometric,4,0.3993331978938666,1.3745977878570557
SA_GeometricCooling,TS1.txt,200,50.0,0.1,36,Geometric,5,0.5893309758431476,1.3237895965576172
SA_GeometricCooling,TS1.txt,200,50.0,0.1,36,Geometric,6,1.1395221225283612,1.3774337768554688
SA_GeometricCooling,TS1.txt,200,50.0,0.1,36,Geometric,7,0.35953830053605423,1.3687286376953125
SA_GeometricCooling,TS1.txt,200,50.0,0.1,36,Geometric,8,0.7612266822728421,1.3583974838256836
SA_GeometricCooling,TS1.txt,200,50.0,0.1,36,Geometric,9,0.5337818125975274,1.3872337341308594
SA_GeometricCooling,TS1.txt,200,50.0,0.1,36,Geometric,10,0.8164642509082548,1.3646748065948486
SA_GeometricCooling,TS1.txt,200,50.0,0.1,36,Geometric,11,1.0551642724362331,1.39150071144104
SA_GeometricCooling,TS1.txt,200,50.0,0.1,36,Geometric,12,0.6783963593315525,1.4002845287322998
SA_GeometricCooling,TS1.txt,200,50.0,0.1,36,Geometric,13,1.101263094126402,1.4451873302459717
SA_GeometricCooling,TS1.txt,200,50.0,0.1,36,Geometric,14,0.6128232754175507,1.4529366493225098
SA_GeometricCooling,TS1.txt,200,50.0,0.1,36,Geometric,15,1.2556325231278032,1.4016437530517578
SA_GeometricCooling,TS1.txt,200,50.0,0.1,36,Geometric,16,1.1691959823107154,1.38277268409729
SA_GeometricCooling,TS1.txt,200,50.0,0.1,36,Geometric,17,0.776338689672336,1.4247713088989258
SA_GeometricCooling,TS1.txt,200,50.0,0.1,36,Geometric,18,0.5370206929982866,1.435472011566162
SA_GeometricCooling,TS1.txt,200,50.0,0.1,36,Geometric,19,0.5325217554515767,1.4328300952911377
SA_GeometricCooling,TS1.txt,200,50.0,0.1,36,Geometric,20,1.1675308362593328,1.4600460529327393
SA_GeometricCooling,TS1.txt,200,50.0,0.1,90,Geometric,1,0.7456048448657155,3.575610876083374
SA_GeometricCooling,TS1.txt,200,50.0,0.1,90,Geometric,2,0.5593006954087439,3.6196811199188232
SA_GeometricCooling,TS1.txt,200,50.0,0.1,90,Geometric,3,1.249921716134787,3.438148260116577
SA_GeometricCooling,TS1.txt,200,50.0,0.1,90,Geometric,4,1.1544438539029864,3.265453577041626
SA_GeometricCooling,TS1.txt,200,50.0,0.1,90,Geometric,5,0.29403900820143325,3.3967936038970947
SA_GeometricCooling,TS1.txt,200,50.0,0.1,90,Geometric,6,0.9748513017438619,3.267728567123413
SA_GeometricCooling,TS1.txt,200,50.0,0.1,90,Geometric,7,0.7046852675598934,3.3770551681518555
SA_GeometricCooling,TS1.txt,200,50.0,0.1,90,Geometric,8,0.4920060765133328,3.3461461067199707
SA_GeometricCooling,TS1.txt,200,50.0,0.1,90,Geometric,9,0.24741228721116754,3.4309589862823486
SA_GeometricCooling,TS1.txt,200,50.0,0.1,90,Geometric,10,1.067284507326753,3.2958948612213135
SA_GeometricCooling,TS1.txt,200,50.0,0.1,90,Geometric,11,0.660665734280096,3.422213554382324
SA_GeometricCooling,TS1.txt,200,50.0,0.1,90,Geometric,12,0.30001745392755674,3.455904006958008
SA_GeometricCooling,TS1.txt,200,50.0,0.1,90,Geometric,13,1.1524889017999669,3.360424280166626
SA_GeometricCooling,TS1.txt,200,50.0,0.1,90,Geometric,14,1.1679517232702885,3.412327766418457
SA_GeometricCooling,TS1.txt,200,50.0,0.1,90,Geometric,15,0.7003902629354316,3.5560078620910645
SA_GeometricCooling,TS1.txt,200,50.0,0.1,90,Geometric,16,0.39104028936491364,3.630896806716919
SA_GeometricCooling,TS1.txt,200,50.0,0.1,90,Geometric,17,0.6285486054699079,3.475010395050049
SA_GeometricCooling,TS1.txt,200,50.0,0.1,90,Geometric,18,0.25523566874583303,3.3940603733062744
SA_GeometricCooling,TS1.txt,200,50.0,0.1,90,Geometric,19,1.2809969985147565,3.2908196449279785
SA_GeometricCooling,TS1.txt,200,50.0,0.1,90,Geometric,20,0.2009092482878472,3.481870412826538
SA_GeometricCooling,TS1.txt,200,50.0,0.001,9,Geometric,1,0.5911428644175013,0.3552682399749756
SA_GeometricCooling,TS1.txt,200,50.0,0.001,9,Geometric,2,0.5928041185666177,0.3521745204925537
SA_GeometricCooling,TS1.txt,200,50.0,0.001,9,Geometric,3,0.5911600922654666,0.3648056983947754
SA_GeometricCooling,TS1.txt,200,50.0,0.001,9,Geometric,4,0.1624272738596194,0.35502099990844727
SA_GeometricCooling,TS1.txt,200,50.0,0.001,9,Geometric,5,0.1571224839241331,0.361285924911499
SA_GeometricCooling,TS1.txt,200,50.0,0.001,9,Geometric,6,0.5884904694497581,0.34937047958374023
SA_GeometricCooling,TS1.txt,200,50.0,0.001,9,Geometric,7,0.16405325254156922,0.34165120124816895
SA_GeometricCooling,TS1.txt,200,50.0,0.001,9,Geometric,8,1.0832737649039719,0.34157443046569824
SA_GeometricCooling,TS1.txt,200,50.0,0.001,9,Geometric,9,1.3407373632670252,0.3538687229156494
SA_GeometricCooling,TS1.txt,200,50.0,0.001,9,Geometric,10,1.217744056538616,0.35552549362182617
SA_GeometricCooling,TS1.txt,200,50.0,0.001,9,Geometric,11,1.277193853048543,0.35679054260253906
SA_GeometricCooling,TS1.txt,200,50.0,0.001,9,Geometric,12,0.9580444834097483,0.3732492923736572
SA_GeometricCooling,TS1.txt,200,50.0,0.001,9,Geometric,13,0.4631847503186067,0.36646318435668945
SA_GeometricCooling,TS1.txt,200,50.0,0.001,9,Geometric,14,1.5238592963860045,0.34913158416748047
SA_GeometricCooling,TS1.txt,200,50.0,0.001,9,Geometric,15,0.9603569142014536,0.3574254512786865
SA_GeometricCooling,TS1.txt,200,50.0,0.001,9,Geometric,16,0.9678437161868333,0.3309512138366699
SA_GeometricCooling,TS1.txt,200,50.0,0.001,9,Geometric,17,0.5908029002414633,0.35887575149536133
SA_GeometricCooling,TS1.txt,200,50.0,0.001,9,Geometric,18,0.9600679030907452,0.34682536125183105
SA_GeometricCooling,TS1.txt,200,50.0,0.001,9,Geometric,19,1.2805780940629974,0.3445873260498047
SA_GeometricCooling,TS1.txt,200,50.0,0.001,9,Geometric,20,0.9480952450150186,0.34296226501464844
