Algoritmo,Varianza,Desviacion_Tipica,Tiempo_Segundos,Media_Accuracy,Max_Accuracy,Min_Accuracy,CPU_Media_%,Memoria_MB
Genetico - Gen 1,0.0011,0.033166,70.59,0.6907,0.7361,0.5535,100.88,150.95
Genetico - Gen 2,0.000943,0.030714,113.31,0.7024,0.7367,0.6242,100.78,151.08
Genetico - Gen 3,0.000819,0.028613,174.76,0.7182,0.7367,0.6242,100.72,151.47
Genetico - Gen 4,0.000461,0.021477,246.6,0.7254,0.7417,0.6242,100.78,152.11
Genetico - Gen 5,0.000164,0.012809,314.95,0.7271,0.738,0.6754,100.73,152.16
... ,... , ..., ...,..., ...,... ,... ,...
... ,... , ..., ...,..., ...,... ,... ,...
... ,... , ..., ...,..., ...,... ,... ,...
Genetico - Gen 348,0.000174,0.013176,26484.1,0.7371,0.7449,0.676,100.79,173.07
Genetico - Gen 349,9.2e-05,0.009596,26560.8,0.7381,0.7436,0.6835,100.79,173.13
