Algoritmo,Varianza,Desviacion_Tipica,Tiempo_Segundos,Num_Combinaciones,Media_Accuracy,Max_Accuracy,Min_Accuracy,CPU_Media_%,Memoria_MB
Random Search,0.001822,0.042687,14744.9,17496,0.6797,0.7448,0.479,100.81,165.8
Genetico - Gen 1,0.0011,0.033166,70.59,95,0.6907,0.7361,0.5535,100.88,150.95
Genetico - Gen 2,0.000943,0.030714,113.31,143,0.7024,0.7367,0.6242,100.78,151.08
Genetico - Gen 3,0.000819,0.028613,174.76,202,0.7182,0.7367,0.6242,100.72,151.47
Genetico - Gen 4,0.000461,0.021477,246.6,254,0.7254,0.7417,0.6242,100.78,152.11
Genetico - Gen 5,0.000164,0.012809,314.95,310,0.7271,0.738,0.6754,100.73,152.16
Genetico - Gen 6,0.00018,0.013405,397.13,357,0.725,0.7386,0.6785,100.75,152.62
Genetico - Gen 7,4e-05,0.006299,468.8,411,0.7319,0.743,0.6992,100.76,152.82
Genetico - Gen 8,0.000244,0.015627,555.09,472,0.7279,0.7398,0.6735,100.78,152.88
Genetico - Gen 9,0.000194,0.013915,632.24,520,0.7299,0.7398,0.6735,100.77,153.02
Genetico - Gen 10,1.3e-05,0.003571,709.22,577,0.736,0.7455,0.728,100.74,156.38
Genetico - Gen 11,1.2e-05,0.003518,801.73,629,0.7378,0.7455,0.728,100.73,156.38
Genetico - Gen 12,0.000121,0.010979,885.49,686,0.7351,0.7455,0.6911,100.73,156.38
Genetico - Gen 13,0.000602,0.024532,974.42,734,0.7308,0.7455,0.6242,100.73,156.38
Genetico - Gen 14,0.000827,0.028751,1087.89,793,0.731,0.7442,0.5441,100.73,156.38
Genetico - Gen 15,5.4e-05,0.007328,1171.31,847,0.7365,0.7455,0.6979,100.72,156.38
Genetico - Gen 16,0.000394,0.019847,1269.57,903,0.7316,0.7442,0.6242,100.72,156.38
Genetico - Gen 17,8.1e-05,0.008995,1358.09,958,0.7367,0.7448,0.6785,100.73,156.38
Genetico - Gen 18,0.000207,0.014383,1447.49,1018,0.7328,0.7442,0.6785,100.73,156.38
Genetico - Gen 19,0.001721,0.04149,1523.24,1082,0.7259,0.7442,0.5347,100.74,156.38
Genetico - Gen 20,0.00044,0.020969,1587.92,1125,0.7275,0.7448,0.6385,100.73,156.38
Genetico - Gen 21,0.000171,0.013073,1662.41,1181,0.7337,0.7474,0.6779,100.73,156.38
Genetico - Gen 22,9.1e-05,0.009519,1732.35,1239,0.737,0.7474,0.6779,100.72,156.38
Genetico - Gen 23,0.000355,0.018851,1820.95,1305,0.7333,0.7449,0.6242,100.73,156.38
Genetico - Gen 24,0.00035,0.018715,1872.0,1352,0.7347,0.7449,0.6242,100.73,156.38
Genetico - Gen 25,0.000267,0.016343,1944.76,1415,0.7328,0.7449,0.6735,100.74,156.38
Genetico - Gen 26,0.000368,0.019189,2002.98,1462,0.7303,0.7436,0.6386,100.74,156.38
Genetico - Gen 27,0.000135,0.011625,2062.86,1511,0.7342,0.748,0.6886,100.74,156.38
Genetico - Gen 28,0.000398,0.019957,2134.74,1554,0.73,0.7424,0.6335,100.74,156.38
Genetico - Gen 29,0.000269,0.016404,2190.11,1601,0.7319,0.7442,0.6773,100.74,156.38
Genetico - Gen 30,0.000131,0.011458,2241.3,1651,0.7357,0.7449,0.6785,100.74,156.38
Genetico - Gen 31,0.000131,0.01146,2285.01,1695,0.7364,0.7442,0.6785,100.74,156.38
Genetico - Gen 32,6.7e-05,0.008161,2334.02,1737,0.7386,0.748,0.6948,100.74,156.38
Genetico - Gen 33,5.9e-05,0.007675,2375.61,1787,0.7395,0.748,0.6948,100.74,156.38
Genetico - Gen 34,0.000255,0.01598,2416.96,1839,0.7365,0.748,0.6698,100.73,156.38
Genetico - Gen 35,0.000509,0.02256,2460.8,1893,0.7342,0.748,0.6242,100.74,156.38
Genetico - Gen 36,0.00042,0.020498,2499.27,1946,0.7374,0.748,0.6242,100.73,156.38
Genetico - Gen 37,0.001228,0.035042,2533.7,1998,0.7327,0.748,0.5347,100.73,156.38
Genetico - Gen 38,0.000992,0.031489,2577.56,2057,0.7322,0.748,0.5347,100.72,156.38
Genetico - Gen 39,0.000376,0.019383,2634.57,2114,0.733,0.748,0.6248,100.72,156.38
Genetico - Gen 40,5.9e-05,0.007682,2687.24,2175,0.7396,0.748,0.7048,100.72,156.38
Genetico - Gen 41,0.000482,0.021948,2740.12,2244,0.7341,0.7467,0.6242,100.72,156.38
Genetico - Gen 42,0.000305,0.017478,2790.27,2297,0.7338,0.7442,0.6361,100.71,156.38
Genetico - Gen 43,0.000292,0.017079,2844.44,2359,0.7294,0.7486,0.6785,100.71,156.38
Genetico - Gen 44,0.000202,0.01421,2903.79,2416,0.7324,0.7486,0.6785,100.71,156.38
Genetico - Gen 45,0.000271,0.016459,2970.58,2481,0.7282,0.7486,0.6754,100.71,156.38
Genetico - Gen 46,0.000224,0.01497,3014.89,2532,0.7329,0.7486,0.6754,100.71,156.38
Genetico - Gen 47,0.000289,0.016991,3057.81,2580,0.7268,0.7442,0.6754,100.7,156.38
Genetico - Gen 48,0.000446,0.021118,3100.78,2624,0.723,0.743,0.6292,100.7,156.38
Genetico - Gen 49,0.000187,0.013673,3160.04,2675,0.7302,0.7417,0.6867,100.7,156.38
Genetico - Gen 50,0.000264,0.016237,3215.73,2738,0.7278,0.7411,0.6635,100.7,156.38
Genetico - Gen 51,0.000574,0.023953,3272.29,2786,0.7267,0.7411,0.5766,100.7,156.38
Genetico - Gen 52,6e-05,0.007742,3317.94,2827,0.7313,0.7424,0.703,100.7,156.38
Genetico - Gen 53,0.001026,0.032032,3380.27,2885,0.7214,0.743,0.5672,100.7,156.38
Genetico - Gen 54,0.001066,0.032647,3436.84,2936,0.7203,0.7436,0.5672,100.7,156.38
Genetico - Gen 55,0.001011,0.031792,3486.09,2981,0.7255,0.7436,0.5672,100.7,156.38
Genetico - Gen 56,0.000531,0.023039,3540.15,3031,0.73,0.7436,0.5917,100.7,156.38
Genetico - Gen 57,0.000187,0.013668,3607.88,3093,0.7304,0.7436,0.6754,100.7,156.38
Genetico - Gen 58,8.2e-05,0.009038,3666.98,3149,0.7351,0.7436,0.6867,100.7,156.38
Genetico - Gen 59,0.000207,0.014384,3721.04,3204,0.7328,0.7436,0.6773,100.7,156.38
Genetico - Gen 60,0.000284,0.016847,3774.09,3255,0.7288,0.7436,0.6517,100.71,156.38
Genetico - Gen 61,0.000126,0.011235,3818.24,3295,0.7324,0.7436,0.6798,100.71,156.38
Genetico - Gen 62,0.000342,0.018502,3897.96,3355,0.7293,0.7436,0.6242,100.71,157.2
Genetico - Gen 63,7.1e-05,0.008437,3981.62,3419,0.7333,0.7442,0.6992,100.71,157.2
Genetico - Gen 64,0.000125,0.011193,4057.97,3484,0.731,0.7436,0.6917,100.71,157.2
Genetico - Gen 65,0.000614,0.024772,4139.78,3544,0.7278,0.7436,0.5722,100.71,157.2
Genetico - Gen 66,2.6e-05,0.005122,4192.17,3593,0.7332,0.7436,0.7173,100.71,157.2
Genetico - Gen 67,0.000212,0.014574,4251.58,3650,0.7291,0.7398,0.6704,100.71,157.2
Genetico - Gen 68,0.000131,0.011462,4295.82,3696,0.7318,0.7448,0.6854,100.71,157.2
Genetico - Gen 69,0.000148,0.012182,4329.35,3744,0.7321,0.7461,0.6735,100.71,157.2
Genetico - Gen 70,0.000155,0.012454,4365.62,3803,0.7341,0.7461,0.6735,100.71,157.2
Genetico - Gen 71,0.000386,0.019648,4411.46,3864,0.7308,0.7448,0.6348,100.71,157.2
