========== MODELO B IMPORTADO EXITOSAMENTE ==========
PUNTO ENCONTRADO 1: (0.6078675544629437, 0.13793617234766553)
PUNTO ENCONTRADO 2: (0.48233745178025766, 0.39302104995189513)
PUNTO ENCONTRADO 3: (0.3538188174943928, -0.5055151085692086)
PUNTO ENCONTRADO 4: (-0.6384802603288146, 0.07204448631145843)
PUNTO ENCONTRADO 5: (-0.4480199252828547, 0.3424058776769733)
PUNTO ENCONTRADO 6: (0.1915764903355932, -0.5141559471671039)
PUNTO ENCONTRADO 7: (-0.3796122119557286, -0.5153371692816477)
PUNTO ENCONTRADO 8: (-0.5859536542212055, -0.1714890585571034)
PUNTO ENCONTRADO 9: (0.3365557254834842, 0.5504612709995793)
PUNTO ENCONTRADO 10: (-0.25876552004411146, 0.5262342857591029)
PUNTO ENCONTRADO 11: (-0.19512459143358596, -0.6049315292901565)
PUNTO ENCONTRADO 12: (0.4976843820183636, -0.18672598608795243)
PUNTO ENCONTRADO 13: (-0.6223308017243615, 0.26553442432239505)
PUNTO ENCONTRADO 14: (0.11879263940669804, 0.6228529612776643)
PUNTO ENCONTRADO 15: (0.5808877017731341, -0.044417318417070195)
gen	nevals	min    	avg    	max    	std    
0  	500   	98.3921	941.304	3465.23	728.817
1  	403   	49.1443	946.307	3024.77	696.185
2  	388   	49.1443	999.721	5621.03	799.834
3  	396   	49.1443	916.688	6217.96	780.55 
4  	395   	47.8207	795.485	5606.16	834.23 
5  	391   	42.839 	685.211	6642.81	739.792
6  	410   	32.0186	540.979	3762.9 	592.415
7  	376   	27.4767	430.502	3566.89	523.337
8  	402   	27.4767	340.985	2607.17	428.908
9  	405   	27.4767	275.899	2813.98	402.089
10 	367   	32.6465	202.118	3582.16	325.735
11 	393   	30.1429	208.118	3523.2 	351.124
12 	397   	30.1429	169.112	3523.2 	356.222
13 	410   	28.7656	128.792	1060.78	144.287
14 	370   	28.7656	143.978	3789.54	275.941
15 	383   	24.6539	133.189	2324.55	221.665
16 	391   	23.4282	123.284	2142.46	215.67 
17 	392   	23.4282	119.42 	1960.18	216.957
18 	403   	23.4282	141.689	2131.2 	313.714
19 	408   	22.7843	146.514	3920.25	351.105
20 	404   	22.7843	126.611	3927.32	338.274
21 	407   	23.6126	121.893	4308.45	339.052
22 	389   	25.9324	97.4109	4261.99	285.124
23 	374   	25.9324	95.0635	5056.44	307.477
24 	392   	23.5202	80.4429	1857.5 	162.687
25 	408   	23.5843	80.0818	1375.39	162.942
26 	389   	23.5843	73.0244	1404.74	150.028
27 	394   	23.2154	87.0241	1747.94	189.82 
28 	404   	22.8181	97.7305	2225.77	229.054
29 	385   	22.5609	99.7531	2462.33	264.707
30 	402   	22.7595	69.2605	1483.07	131.636
31 	413   	20.6813	80.8512	2248.62	217.776
32 	379   	20.326 	75.9162	1481.32	169.062
33 	403   	20.2783	75.4001	1194.62	159.792
34 	416   	19.6679	65.7576	1344.1 	143.453
35 	409   	20.2783	71.277 	2579.83	189.225
36 	403   	20.2783	66.5194	2150.56	151.333
37 	403   	19.9412	60.242 	1008.48	120.355
38 	408   	19.601 	76.6927	3563.73	231.411
39 	399   	17.0499	67.3554	1709.1 	149.322
40 	401   	19.2836	55.4328	1422.19	120.528
41 	399   	18.2843	63.2884	1908.61	177.001
42 	407   	18.2843	67.8847	1126.92	150.511
43 	404   	16.3334	59.5746	2054.19	149.792
44 	401   	16.3334	58.9405	2304.57	143.897
45 	395   	16.3334	54.0133	3213.08	171.642
46 	391   	16.3334	66.2523	3498.79	215.903
47 	411   	15.4888	62.1574	2121.63	175.056
48 	386   	15.4888	55.0255	1103.53	119.032
49 	406   	15.4888	63.2191	2235.23	170.426
50 	391   	15.6501	51.6002	1013.58	109.012
51 	390   	15.6501	52.2198	1710.98	111.898
52 	377   	15.6501	43.2825	1135.68	77.5815
53 	406   	15.6501	67.9347	3292.03	221.307
54 	371   	15.6501	51.6071	2248.44	137.101
55 	395   	15.2161	50.3509	2821.5 	155.66 
56 	396   	15.6163	50.5032	891.673	98.5215
57 	392   	14.15  	61.8225	2400.69	178.895
58 	396   	15.0712	55.015 	2400.69	159.523
59 	395   	15.0712	60.1883	2267.2 	193.48 
60 	394   	14.3817	72.7097	1713.62	192.974
61 	396   	14.8956	75.3857	1054.04	169.331
62 	401   	14.0774	68.8358	1797.66	188.208
63 	386   	14.0774	60.6549	2104.83	171.578
64 	384   	14.0774	60.3228	2503.69	174.415
65 	394   	14.0774	65.8902	3316.66	222.131
66 	374   	14.0774	54.5028	2411.17	161.553
67 	401   	14.0774	54.2123	1146.14	125.218
68 	398   	14.0474	66.4692	1937.43	174.331
69 	397   	14.0774	76.398 	5350.46	295.97 
70 	382   	14.3024	67.2915	2794.67	204.708
71 	403   	14.5481	61.2312	2686.46	201.981
72 	398   	14.5481	63.1984	1819.87	160.773
73 	393   	14.0474	65.8715	2786.88	194.207
74 	422   	14.0474	59.3145	1074.73	135.858
75 	394   	14.0474	61.151 	2027.23	174.431
76 	377   	14.6999	61.0657	1125.73	161.698
77 	390   	14.15  	67.5323	1604.81	158.667
78 	392   	14.15  	68.7389	2502.7 	199.672
79 	397   	14.6798	57.7779	1287.53	146.506
80 	378   	14.6798	61.4789	1884.04	168.044
81 	396   	14.4687	51.3885	879.928	118.505
